_id,AREA_NAME,HOOD_ID,ASSAULT_2025,ASSAULT_RATE_2025,AUTOTHEFT_2025,AUTOTHEFT_RATE_2025,BREAKENTER_2025,BREAKENTER_RATE_2025,HOMICIDE_2025,HOMICIDE_RATE_2025,ROBBERY_2025,ROBBERY_RATE_2025,SHOOTING_2025,SHOOTING_RATE_2025,THEFTFROMMV_2025,THEFTFROMMV_RATE_2025,THEFTOVER_2025,THEFTOVER_RATE_2025,POPULATION_2025
1,South Eglinton-Davisville,174,126,435.955993652344,17,58.8194580078125,37,128.018829345703,0,0.0,7,24.2197780609131,0,0.0,29,100.339073181152,6,20.7598094940186,28902
2,North Toronto,173,129,626.76123046875,14,68.0205993652344,36,174.910110473633,0,0.0,11,53.4447593688965,0,0.0,13,63.1619873046875,5,24.2930717468262,20582
3,Dovercourt Village,172,128,974.940979003906,17,129.484344482422,31,236.118515014648,0,0.0,9,68.550537109375,0,0.0,19,144.717803955078,3,22.8501796722412,13129
4,Junction-Wallace Emerson,171,200,720.020141601563,30,108.003021240234,64,230.406448364258,0,0.0,10,36.0010070800781,1,3.600100802822479,56,201.605651855469,9,32.4009056091309,27777
5,Yonge-Bay Corridor,170,560,3361.14282226563,27,162.055099487305,92,552.187744140625,2,12.004081387671807,50,300.102020263672,2,12.004081387671807,67,402.13671875,35,210.071426391602,16661
6,Bay-Cloverhill,169,145,601.934509277344,4,16.6050891876221,69,286.437805175781,0,0.0,18,74.722900390625,0,0.0,35,145.294525146484,21,87.1767196655273,24089
7,Bendale-Glen Andrew,156,180,871.755126953125,96,464.936065673828,30,145.292526245117,2,9.686168151879118,46,222.781860351563,3,14.529252227818676,60,290.585052490234,17,82.3324279785156,20648
8,Downsview,155,187,811.103881835938,77,333.983947753906,38,164.8232421875,0,0.0,29,125.786163330078,2,8.674907829104315,47,203.860336303711,19,82.41162109375,23055
9,Oakdale-Beverley Heights,154,285,1162.2216796875,111,452.654754638672,38,154.962890625,1,4.07797080172906,39,159.040863037109,4,16.31188320691624,67,273.224029541016,19,77.4814453125,24522
10,Avondale,153,84,508.259216308594,11,66.5577545166016,18,108.912689208984,0,0.0,5,30.2535247802734,0,0.0,18,108.912689208984,3,18.1521148681641,16527
11,East Willowdale,152,52,295.135925292969,32,181.622116088867,35,198.649185180664,0,0.0,10,56.756908416748,1,5.675691015381123,34,192.973495483398,9,51.0812187194824,17619
12,Yonge-Doris,151,123,510.691314697266,24,99.6470794677734,14,58.1274642944336,0,0.0,17,70.5833511352539,0,0.0,54,224.205932617188,14,58.1274642944336,24085
13,Fenside-Parkwoods,150,131,553.232849121094,63,266.058532714844,28,118.248237609863,0,0.0,8,33.7852096557617,2,8.44630263102327,33,139.363998413086,7,29.5620594024658,23679
14,Parkwoods-O'Connor Hills,149,78,520.902893066406,46,307.199157714844,30,200.347274780273,0,0.0,10,66.7824249267578,1,6.678242286630159,31,207.025512695313,7,46.7476959228516,14974
15,East L'Amoreaux,148,69,288.606323242188,40,167.308013916016,56,234.231216430664,0,0.0,21,87.8367080688477,0,0.0,19,79.471305847168,4,16.7308006286621,23908
16,L'Amoreaux West,147,96,398.04296875,55,228.045440673828,39,161.704956054688,0,0.0,21,87.0718994140625,1,4.146280786134837,31,128.534698486328,10,41.4628067016602,24118
17,Malvern East,146,144,505.866638183594,64,224.829620361328,23,80.7981414794922,0,0.0,23,80.7981414794922,0,0.0,53,186.187026977539,10,35.1296272277832,28466
18,Malvern West,145,116,635.02490234375,67,366.781616210938,8,43.7948226928711,0,0.0,23,125.910110473633,5,27.371763288991076,38,208.025405883789,12,65.6922302246094,18267
19,Morningside Heights,144,130,486.108520507813,97,362.711730957031,40,149.571853637695,0,0.0,37,138.353958129883,5,18.69648132221516,65,243.054260253906,18,67.3073348999023,26743
20,West Rouge,143,63,278.342315673828,101,446.231323242188,17,75.1082458496094,0,0.0,10,44.1813201904297,1,4.418132013784572,39,172.307144165039,10,44.1813201904297,22634
21,Woburn North,142,221,768.882873535156,91,316.598815917969,52,180.913619995117,0,0.0,22,76.5403747558594,4,13.91643182687959,81,281.807739257813,18,62.6239433288574,28743
22,Golfdale-Cedarbrae-Woburn,141,193,637.594970703125,75,247.770065307617,27,89.1972274780273,0,0.0,30,99.108024597168,3,9.910802775024777,55,181.698043823242,16,52.8576164245605,30270
23,Guildwood,140,43,399.368438720703,8,74.3011016845703,6,55.725830078125,0,0.0,6,55.725830078125,2,18.575276307235068,22,204.328033447266,3,27.8629150390625,10767
24,Scarborough Village,139,143,763.481018066406,52,277.629486083984,46,245.595306396484,1,5.339028296849974,20,106.780563354492,1,5.339028296849974,56,298.985595703125,4,21.3561134338379,18730
25,Eglinton East,138,214,825.808471679688,70,270.124267578125,39,150.497802734375,0,0.0,17,65.6016082763672,4,15.435671837616733,145,559.543090820313,16,61.7426872253418,25914
26,West Hill,136,419,1328.21911621094,47,148.988784790039,61,193.368408203125,2,6.339948012426299,31,98.2691955566406,5,15.849870031065745,123,389.906799316406,20,63.3994789123535,31546
27,Morningside,135,125,646.830505371094,42,217.335052490234,15,77.6196670532227,0,0.0,11,56.921085357666,3,15.523932729624839,21,108.667526245117,7,36.2225112915039,19325
28,Highland Creek,134,78,575.603271484375,33,243.524459838867,16,118.072463989258,1,7.379529186037931,6,44.2771759033203,1,7.379529186037931,29,214.00634765625,13,95.9338760375977,13551
29,Centennial Scarborough,133,43,292.616546630859,22,149.710784912109,28,190.541000366211,0,0.0,3,20.4151077270508,1,6.805035726437564,16,108.880569458008,5,34.0251770019531,14695
30,Milliken,130,88,334.232208251953,160,607.694946289063,67,254.472259521484,0,0.0,52,197.500854492188,5,18.99046678567359,105,398.7998046875,33,125.33708190918,26329
31,Agincourt North,129,83,276.906646728516,98,326.950012207031,28,93.4142913818359,0,0.0,32,106.75919342041,2,6.67244945619537,32,106.75919342041,16,53.3795967102051,29974
32,Agincourt South-Malvern West,128,133,467.043579101563,78,273.905242919922,74,259.858825683594,2,7.02321171471714,27,94.8133544921875,6,21.06963514415142,69,242.300811767578,11,38.6276626586914,28477
33,Dorset Park,126,185,671.969787597656,98,355.962371826172,53,192.51025390625,0,0.0,31,112.600341796875,5,18.161345392466675,92,334.168762207031,20,72.645378112793,27531
34,Ionview,125,116,813.806640625,20,140.311492919922,13,91.2024688720703,1,7.0155745755577374,13,91.2024688720703,1,7.0155745755577374,29,203.45166015625,6,42.093448638916,14254
35,Kennedy Park,124,288,1521.47497558594,40,211.315963745117,30,158.48698425293,1,5.282899255111205,23,121.506683349609,3,15.848697765333617,76,401.500335693359,16,84.5263900756836,18929
36,Cliffcrest,123,145,803.6357421875,49,271.573455810547,34,188.438735961914,0,0.0,23,127.473258972168,2,11.084631158898187,84,465.554504394531,7,38.7962074279785,18043
37,Birchcliffe-Cliffside,122,168,648.548461914063,69,266.368133544922,47,181.439163208008,0,0.0,19,73.3477478027344,0,0.0,72,277.949340820313,9,34.7436676025391,25904
38,Downtown Yonge East,168,593,2360.7626953125,19,75.6399536132813,69,274.692474365234,0,0.0,36,143.317810058594,3,11.943150603129105,98,390.142913818359,25,99.526252746582,25119
39,Church-Wellesley,167,380,1264.64318847656,14,46.5921211242676,44,146.432373046875,1,3.3280085197018106,28,93.1842422485352,0,0.0,62,206.336532592773,32,106.496269226074,30048
40,St Lawrence-East Bayfront-The Islands,166,473,1059.68273925781,11,24.6437854766846,73,163.545120239258,0,0.0,43,96.3348007202148,2,4.480688233712699,73,163.545120239258,35,78.4120407104492,44636
41,Harbourfront-CityPlace,165,312,883.327209472656,20,56.6235389709473,50,141.558853149414,1,2.831176920245746,17,48.1300086975098,3,8.493530760737238,43,121.740608215332,20,56.6235389709473,35321
42,Wellington Place,164,442,1169.62158203125,37,97.9095001220703,111,293.728485107422,2,5.292405398253506,31,82.0322799682617,4,10.584810796507012,80,211.696212768555,33,87.3246917724609,37790
